"MEAN OF STE","MEAN OF ZC","VARIANCE OF STE","VARIANCE OF ZC","Q(STE) AT 25%","Q(STE) AT 50%","Q(STE) AT 75%","Q(STE) AT 100%","Q(ZC) AT 25%","Q(ZC) AT 50%","Q(ZC) AT 75%","Q(ZC) AT 100%","LABEL"
"75.709330056415","83.060606060606","6538.1277237205","753.55871212121","2.4604963801352","14.936951131135","74.290429298581","159.17474475463","57","66","88.7","105.8","1"
"80.407842094522","84.181818181818","8170.2683384457","636.02840909091","1.5137716438307","11.821700858841","75.02278650222","180.59506006505","59.1","72","90.8","109","1"
"94.748769707036","82.878787878788","10604.260482174","671.67234848485","1.9253027078031","24.441844247887","103.04476084431","196.47005048929","58.1","70","92.8","106.7","1"
"60.523681772872","88.272727272727","5043.0090831489","748.51704545455","2.7696958774055","6.6541883404884","50.574440617423","137.42188926527","58.2","80.1","95.2","106.9","1"
"48.628122949323","108.27272727273","3215.6723358109","1940.6420454546","2.8461259002752","12.222630911991","39.868505671529","96.274329242957","72.6","86","106","158.3","1"
"41.540065173196","103.48484848485","3199.5027114966","1369.6950757576","1.4757383968554","6.0449706172529","23.50608406113","76.72217305399","72.6","88","106.9","129.4","1"
"46.66025180726","108.69696969697","3230.2690757163","1772.6553030303","2.2086974075454","9.5043406408698","44.375409198828","100.06512455522","72.3","91.4","104.6","143.8","1"
"35.044002478297","109.33333333333","2504.2271092204","1913.2916666667","2.1323992490965","5.3568221437351","18.686234723838","66.412134306497","72.5","86","114.3","153.5","1"
"31.426979110606","119.75757575758","2017.5886105528","3167.8143939394","2.5547433089012","5.3155887458033","16.777557334711","56.461576495646","72.6","100.1","110.9","164.7","1"
"27.483869863245","118.69696969697","1297.7287840726","2853.2178030303","1.8407796231306","5.6464553666427","22.203453786823","47.368581234357","72.4","93.6","117.7","174.2","1"
"40.508416770127","117.39393939394","3004.2785994614","3065.9337121212","2.2205888511746","9.2334885575366","35.761096020569","58.714715313131","72","86.7","111","169.2","1"
"34.527228362677","111.9696969697","1805.9565068881","2113.2178030303","2.4452898627551","9.7137489180472","28.368471956216","63.254333677266","72","89.4","113.9","158.8","1"
"36.338575714364","111.12121212121","2228.0727400929","1956.4848484849","2.1186832169694","6.797396616731","28.937332921102","69.170948027576","73.1","93.4","113.6","134.8","1"
"35.108696480632","103.87878787879","2601.0286932408","1695.4848484849","1.4169092056874","6.6937717260994","25.351778440852","60.29631281952","72.3","85.7","100.8","130.9","1"
"35.291525398432","88","5790.3867967141","593","0.20135809153301","1.7732860292513","8.5405003043213","35.786997221818","65.3","80.7","93","110.7","1"
"42.292429889258","98.030303030303","7209.1073965882","1102.8428030303","0.75781593560071","1.9136168942765","8.21557589374","32.415100122709","70.2","83.1","100.5","128.8","1"
"38.388358876196","87.787878787879","5809.4336417595","494.29734848485","0.24821551686386","0.80851518301684","10.262606898608","29.667474144822","65","83.3","97.3","104.9","1"
"38.868844736182","88.181818181818","5799.5072998843","503.59090909091","0.24877865446593","1.298505650753","9.2507236561705","46.099271346982","65.5","82.1","95.9","110.3","1"
"32.291058154914","86.757575757576","5672.2611143019","550.87689393939","0.17551691959391","1.0867384895136","7.1280712712854","28.031024359272","65","79","95.3","105.6","1"
"43.727623438333","92.727272727273","9115.199442316","949.51704545455","0.39927125460229","1.3351363581925","4.0703550398841","32.772945751401","62.3","84.7","96.8","120.3","1"
"35.801992861994","91.090909090909","5273.4212590992","537.77272727273","0.68988795687022","1.62324715448","8.9296283265721","27.779434550211","69.1","87.4","101.3","109.8","1"
"26.541795054868","98.909090909091","3252.6181201829","686.83522727273","0.56902907442155","1.7466273444738","7.4878459258711","16.689596902057","72.1","96","108","122.8","1"
"25.511021590103","101.09090909091","3211.0052402931","791.96022727273","0.52374547785476","1.3479017905436","5.7773148951497","12.44264988299","72.2","104.8","108","124.6","1"
"30.501199671243","102.57575757576","4601.7125367017","908.50189393939","0.85608185527535","2.0786919760033","8.4518088292974","27.045806953312","70.1","101.7","110.6","124.9","1"
